20,3.514e-06,545,4.824e-05,5565
40,1.3137e-05,2085,0.000412391,43525
60,2.8905e-05,4625,0.00134979,145885
80,5.2683e-05,8165,0.00341175,344645
100,8.2691e-05,12705,0.00629259,671805
120,0.000161371,18245,0.0264167,1159365
140,0.000163102,24785,0.061751,1839325
160,0.000244957,32325,0.0741688,2743685
180,0.000309423,40865,0.0946658,3904445
200,0.000347056,50405,0.12574,5353605
220,0.000423471,60945,0.175385,7123165
240,0.000539752,72485,0.217821,9245125
260,0.000919852,85025,0.22644,11751485
280,0.000826485,98565,0.247974,14674245
300,0.000853281,113105,0.370284,18045405
320,0.00110011,128645,0.408576,21896965
340,0.00408363,145185,0.431476,26260925
360,0.00128615,162725,0.471322,31169285
380,0.0045296,181265,0.556357,36654045
400,0.00156226,200805,0.726724,42747205
420,0.00178542,221345,0.757301,49480765
440,0.00197046,242885,0.849131,56886725
460,0.00210011,265425,0.941293,64997085
480,0.00242226,288965,1.01143,73843845
500,0.00264226,313505,1.14014,83459005
520,0.00305936,339045,1.18435,93874565
540,0.00306789,365585,1.33225,105122525
560,0.00309225,393125,1.92169,117234885
580,0.00377264,421665,1.36076,130243645
600,0.00369602,451205,1.90362,144180805
