40,1.3295e-05,2085,0.000404466,43525
80,8.9057e-05,8165,0.0179703,344645
120,0.000119328,18245,0.0453414,1159365
160,0.000244875,32325,0.159989,2743685
200,0.000369944,50405,0.083057,5353605
240,0.000516034,72485,0.106292,9245125
280,0.000763162,98565,0.160965,14674245
320,0.0138908,128645,0.232784,21896965
360,0.00126084,162725,0.30971,31169285
400,0.0318654,200805,0.45502,42747205
440,0.00214171,242885,0.608486,56886725
480,0.0022503,288965,1.30095,73843845
520,0.0027137,339045,0.939729,93874565
560,0.0239949,393125,1.16333,117234885
600,0.0290783,451205,1.42848,144180805
640,0.0240665,513285,3.2652,174968325
680,0.00971418,579365,4.06779,209853445
720,0.0231864,649445,3.58652,249092165
760,0.0294152,723525,3.64043,292940485
800,0.0105179,801605,4.52279,341654405
840,0.0211739,883685,8.04635,395489925
880,0.0144686,969765,5.56926,454703045
920,0.0150979,1059845,5.87481,519549765
